# disclosure_anchor research-priority universe — v11 phase-1 candidate from the frozen public screen.
# Best attainable phase-1 candidate / still not GO; rules and hashes: watchlist-v11-manifest.json.
# Threshold outcome, not forced fill; blank optional fields inherit global defaults.
security_code,exchange,status,joined_date,lookback_days,sync_frequency,process_classes,note
000899,SZSE,active,2026-08-23,,,,江西赣能股份有限公司
301200,SZSE,active,2026-08-23,,,,深圳市大族数控科技股份有限公司
600150,SSE,active,2026-08-23,,,,中国船舶工业股份有限公司
688012,SSE,active,2026-08-23,,,,中微半导体设备(上海)股份有限公司
603390,SSE,active,2026-08-23,,,,广州通达汽车电气股份有限公司
300247,SZSE,active,2026-08-23,,,,融捷健康科技股份有限公司
002701,SZSE,active,2026-08-23,,,,奥瑞金科技股份有限公司
301196,SZSE,active,2026-08-23,,,,厦门唯科模塑科技股份有限公司
001218,SZSE,active,2026-08-23,,,,湖南丽臣实业股份有限公司
688131,SSE,active,2026-08-23,,,,上海皓元医药股份有限公司
000776,SZSE,active,2026-08-23,,,,广发证券股份有限公司
300346,SZSE,active,2026-08-23,,,,江苏南大光电材料股份有限公司
603238,SSE,active,2026-08-23,,,,杭州诺邦无纺股份有限公司
300843,SZSE,active,2026-08-23,,,,胜蓝科技股份有限公司
002736,SZSE,active,2026-08-23,,,,国信证券股份有限公司
301107,SZSE,active,2026-08-23,,,,重庆瑜欣平瑞电子股份有限公司
600909,SSE,active,2026-08-23,,,,华安证券股份有限公司
300493,SZSE,active,2026-08-23,,,,上海润欣科技股份有限公司
300320,SZSE,active,2026-08-23,,,,江阴海达橡塑股份有限公司
600995,SSE,active,2026-08-23,,,,南方电网储能股份有限公司
301055,SZSE,active,2026-08-23,,,,张小泉股份有限公司
002340,SZSE,active,2026-08-23,,,,格林美股份有限公司
600444,SSE,active,2026-08-23,,,,国机通用机械科技股份有限公司
688161,SSE,active,2026-08-23,,,,山东威高骨科材料股份有限公司
300398,SZSE,active,2026-08-23,,,,上海飞凯材料科技股份有限公司
603680,SSE,active,2026-08-23,,,,今创集团股份有限公司
603259,SSE,active,2026-08-23,,,,无锡药明康德新药开发股份有限公司
300562,SZSE,active,2026-08-23,,,,广东乐心医疗电子股份有限公司
002452,SZSE,active,2026-08-23,,,,长高电气集团股份公司
000021,SZSE,active,2026-08-23,,,,深圳长城开发科技股份有限公司
301220,SZSE,active,2026-08-23,,,,昆山亚香香料股份有限公司
688333,SSE,active,2026-08-23,,,,西安铂力特增材技术股份有限公司
688017,SSE,active,2026-08-23,,,,苏州绿的谐波传动科技股份有限公司
688419,SSE,active,2026-08-23,,,,安徽耐科装备科技股份有限公司
688191,SSE,active,2026-08-23,,,,智洋创新科技股份有限公司
688392,SSE,active,2026-08-23,,,,上海骄成超声波技术股份有限公司
300658,SZSE,active,2026-08-23,,,,厦门延江新材料股份有限公司
002849,SZSE,active,2026-08-23,,,,浙江威星智能仪表股份有限公司
688577,SSE,active,2026-08-23,,,,浙江海德曼智能装备股份有限公司
002836,SZSE,active,2026-08-23,,,,广东新宏泽包装股份有限公司
605333,SSE,active,2026-08-23,,,,昆山沪光汽车电器股份有限公司
600499,SSE,active,2026-08-23,,,,科达制造股份有限公司
600531,SSE,active,2026-08-23,,,,河南豫光金铅股份有限公司
601689,SSE,active,2026-08-23,,,,宁波拓普集团股份有限公司
